Longitude,Latitude,Name,Code,Type
-121.6257966,38.9782281,WILSON,3405,230
-119.4179324,36.778261,STA B1,2605,287
-118.2429406,37.20711714,STA B2,2606,287
-111.960498,41.363274,BENLOMND,6501,345
-114.7420408,44.0682019,BORAH,6103,345
-111.0937311,39.3209801,BRIDGER2,,345
-111.0937311,39.3209801,CAMP WIL,6502,345
-105.7820674,39.5500507,COLOEAST,7001,345
-107.5464541,40.5152491,CRAIG,7002,345
-111.2487809,38.9230307,EMERY,6503,345
-114.8072,39.3363,GONDER,6404,345
-119.4179324,36.778261,INTERMT,2604,345
-105.5911007,41.3113669,LARAMIE,6302,345
-111.8554907,39.8160656,MONA,6504,345
-111.0937311,39.3209801,PINTO PS,6506,345
-108.2377519,36.3882439,SAN JUAN,1004,345
-111.9677038,38.840521,SIGURD,6507,345
-111.0937311,39.3209801,SPAN FRK,6508,345
-112.0093843,40.7557789,TERMINAL,6509,345
-116.419389,38.8026097,TRACYSPP,6401,345
-117.1281453,40.7922061,VALMY,6403,345
-117.409215,34.5827699,ADELANTO,2600,500
-122.3436315,47.7465965,BELL,4103,500
-123.1622078,45.9320709,BIG EDDY,4006,500
-119.0541032,43.5862606,BURNS,4003,500
-122.3165957,49.1408426,CANADA,5001,500
-114.0332851,51.29192201,CANALB,5002,500
-120.9669133,45.6446058,CELILOCA,4007,500
-111.0937311,34.0489281,CHOLLA,,500
-106.6236368,45.8841618,COLSTRP,6201,500
-119.0120921,47.9391662,COULEE,4101,500
-116.5842212,34.04372201,DEVERS,2400,500
-121.9580149,37.8349258,DIABLO,3801,500
-120.4357631,38.7426376,ELDORADO,2901,500
-111.0937311,34.0489281,FOURCORN,1001,500
-112.81171,46.5232622,GARRISON,6202,500
-118.3765336,33.87874241,GATES,3802,500
-120.9197543,44.4979032,GRIZZLY,4004,500
-120.9182374,44.50086278,GRIZZLY1,4091,500
-120.9165031,44.50382374,GRIZZLY2,4092,500
-120.9441784,44.50728646,GRIZZLY4,4094,500
-120.8895561,44.53048143,GRIZZLY5,4095,500
-120.9042441,44.47661929,GRIZZLY7,4097,500
-116.419389,38.8026097,H ALLEN,1302,500
-119.386667,46.583889,HANFORD,4102,500
-117.8612372,33.85153194,IMPRLVLY,2301,500
-118.95301,44.4159883,JOHN DAY,4005,500
-120.8499151,37.0582786,LOSBANOS,3901,500
-117.3422682,34.3672238,LUGO,2401,500
-121.4086021,42.0126551,MALIN,4001,500
-121.4120237,42.01142526,MALIN1,4090,500
-112.075042,33.46840412,MEAD,1301,500
-122.6222791,47.1244608,MERIDIAN,4204,500
-121.7459388,37.2205289,METCALF,3301,500
-114.7420408,44.0682019,MIDPOINT,6101,500
-116.4719291,35.03479706,MIDWAY1,3892,500
-116.4714138,35.0327612,MIDWAY3,3894,500
-114.6569667,33.5775495,MIDWAY5,3896,500
-117.7149438,33.5236744,MIGUEL,2201,500
-117.5159449,33.9845417,MIRALOMA,2402,500
-111.2223624,36.1111043,MOENKOPI,1201,500
-118.1706661,35.0475381,MOHAVE,2902,500
-121.8770281,37.3813573,MOSSLAND,3902,500
-110.1402594,35.4019765,NAVAJO,1202,500
-119.80464,47.81276157,NORTH,4201,500
-117.9002918,33.916475,OLINDA,8001,500
-112.6777087,33.3483711,PALOVRDE,1401,500
-118.5272048,34.27882352,RINALDI,2601,500
-121.9419412,40.7940442,ROUND MT,3906,500
-120.654615,35.334974,SERRANO,2501,500
-118.4543517,34.0290136,STA E,2602,500
-120.5542012,43.8041334,SUMMER L,4002,500
-120.4331607,37.98493951,TABLE MT,3905,500
-121.9447185,37.49263866,TESLA,3903,500
-121.4260018,37.7395818,TRACY,8002,500
-121.8232958,38.4454641,VACA-DIX,3904,500
-122.2000778,40.20072756,VALLEY,2403,500
-117.2927641,34.5362184,VICTORVL,2603,500
-117.9227605,34.0982802,VINCENT,2404,500
-122.1623725,47.4431185,WCASCADE,4202,500
-112.2473434,33.727797,WESTWING,1402,500
-123.1386021,45.5469616,WILLAMET,4203,500
